Ticker,Date
A,2015-02-17
A,2015-05-18
A,2015-08-17
A,2015-11-16
A,2016-02-16
A,2016-05-16
A,2016-08-17
A,2016-11-15
A,2017-02-14
A,2017-05-22
A,2017-08-15
A,2017-11-20
A,2018-02-14
A,2018-05-14
A,2018-08-14
A,2018-11-19
A,2019-02-20
A,2019-05-14
A,2019-08-14
A,2019-11-25
A,2020-02-18
A,2020-05-21
A,2020-08-18
A,2020-11-23
A,2021-02-16
A,2021-05-25
A,2021-08-17
A,2021-11-22
A,2022-02-22
A,2022-05-24
A,2022-08-16
A,2022-11-21
A,2023-02-28
A,2023-05-23
A,2023-08-15
A,2023-11-20
A,2024-02-27
A,2024-05-29
A,2024-08-21
A,2024-11-25
A,2025-02-26
A,2025-05-28
A,2025-08-27
A,2025-11-24
A,2026-02-25
A,2026-05-27
AAPL,2015-01-27
AAPL,2015-04-27
AAPL,2015-07-21
AAPL,2015-10-27
AAPL,2016-01-26
AAPL,2016-04-26
AAPL,2016-07-26
AAPL,2016-10-25
AAPL,2017-01-31
AAPL,2017-05-02
AAPL,2017-08-01
AAPL,2017-11-02
AAPL,2018-02-01
AAPL,2018-05-01
AAPL,2018-07-31
AAPL,2018-11-01
AAPL,2019-01-29
AAPL,2019-04-30
AAPL,2019-07-30
AAPL,2019-10-30
AAPL,2020-01-28
AAPL,2020-04-30
AAPL,2020-07-30
AAPL,2020-10-29
AAPL,2021-01-27
AAPL,2021-04-28
AAPL,2021-07-27
AAPL,2021-10-28
AAPL,2022-01-27
AAPL,2022-04-28
AAPL,2022-07-28
AAPL,2022-10-27
AAPL,2023-02-02
AAPL,2023-05-04
AAPL,2023-08-03
AAPL,2023-11-02
AAPL,2024-02-01
AAPL,2024-05-02
AAPL,2024-08-01
AAPL,2024-10-31
AAPL,2025-01-30
AAPL,2025-05-01
AAPL,2025-07-31
AAPL,2025-10-30
AAPL,2026-01-29
AAPL,2026-04-30
ABBV,2015-01-30
ABBV,2015-04-23
ABBV,2015-07-24
ABBV,2015-10-30
ABBV,2016-01-29
ABBV,2016-04-28
ABBV,2016-07-29
ABBV,2016-10-28
ABBV,2017-01-27
ABBV,2017-04-27
ABBV,2017-07-28
ABBV,2017-10-27
ABBV,2018-01-26
ABBV,2018-04-26
ABBV,2018-07-27
ABBV,2018-11-02
ABBV,2019-01-25
ABBV,2019-04-25
ABBV,2019-07-26
ABBV,2019-11-01
ABBV,2020-02-07
ABBV,2020-05-01
ABBV,2020-07-31
ABBV,2020-10-30
ABBV,2021-02-03
ABBV,2021-04-30
ABBV,2021-07-30
ABBV,2021-10-29
ABBV,2022-02-02
ABBV,2022-04-29
ABBV,2022-07-29
ABBV,2022-10-28
ABBV,2023-02-09
ABBV,2023-04-27
ABBV,2023-07-27
ABBV,2023-10-27
ABBV,2024-02-02
ABBV,2024-04-26
ABBV,2024-07-25
ABBV,2024-10-30
ABBV,2025-01-31
ABBV,2025-04-25
ABBV,2025-07-31
ABBV,2025-10-31
